Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\FileServe\FileServe.csproj,File,src\FileServe\FileServe.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\FileServe\FileServe.csproj,File,src\FileServe\Program.cs,68,0,M:Microsoft.AspNetCore.Builder.ForwardedHeadersExtensions.UseForwardedHeaders(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseForwardedHeaders();
